UniqueID,Species,Breed,Gender,SpayNeuter,Borough,ZipCode,Season,trainability_value,group,Age_Range
7226,DOG,doberman pinscher,U,FALSE,Queens,,Summer,0.62,Working Group,
7227,DOG,cocker spaniel,M,TRUE,Queens,,Summer,0.66,Sporting Group,Adult (3-7 Years)
7228,DOG,bull terrier,F,TRUE,Queens,11423,Summer,0.61,Terrier Group,Puppy/Young (0-2 Years)
7230,DOG,american english coonhound,M,FALSE,Queens,11101,Summer,0.42,Hound Group,Adult (3-7 Years)
7231,DOG,chihuahua,M,FALSE,Queens,,Summer,0.48,Toy Group,Adult (3-7 Years)
7232,DOG,bull terrier,U,FALSE,Queens,,Summer,0.22,Terrier Group,
7234,DOG,airedale terrier,U,FALSE,Queens,,Summer,0.52,Terrier Group,
7236,DOG,boxer,M,TRUE,Queens,11379,Summer,0.31,Working Group,Adult (3-7 Years)
7237,DOG,bichon frise,M,TRUE,Queens,,Summer,0.47,Non-Sporting Group,Adult (3-7 Years)
7238,DOG,bull terrier,U,FALSE,Queens,11385,Summer,0.52,Terrier Group,
7239,DOG,french bulldog,M,FALSE,Queens,,Summer,0.18,Non-Sporting Group,Puppy/Young (0-2 Years)
7240,DOG,bichon frise,F,TRUE,Queens,11374,Summer,0.4,Non-Sporting Group,Adult (3-7 Years)
7241,DOG,maltese,M,TRUE,Queens,,Summer,0.36,Toy Group,Puppy/Young (0-2 Years)
7242,DOG,chihuahua,U,FALSE,Queens,,Summer,0.0,Toy Group,
7243,DOG,siberian husky,U,FALSE,Queens,11418,Summer,0.49,Working Group,
7244,DOG,bull terrier,U,FALSE,Queens,,Summer,0.19,Terrier Group,
7245,DOG,chihuahua,U,FALSE,Queens,,Summer,0.24,Toy Group,
7246,DOG,maltese,U,FALSE,Queens,11375,Summer,0.3,Toy Group,
7248,DOG,bull terrier,U,FALSE,Queens,,Summer,0.31,Terrier Group,
7249,DOG,bull terrier,F,TRUE,Queens,11355,Summer,0.59,Terrier Group,Senior (8+ Years)
7251,DOG,standard schnauzer,F,TRUE,Queens,11369,Summer,0.16,Working Group,Adult (3-7 Years)
7253,DOG,german shepherd dog,F,FALSE,Queens,11368,Summer,0.72,Herding Group,Adult (3-7 Years)
7254,DOG,samoyed,M,TRUE,Queens,11420,Summer,0.22,Working Group,Adult (3-7 Years)
7255,DOG,maltese,F,TRUE,Queens,11374,Summer,0.71,Toy Group,Adult (3-7 Years)
7256,DOG,miniature schnauzer,U,FALSE,Queens,,Summer,0.73,Terrier Group,
7257,DOG,bull terrier,U,FALSE,Queens,11414,Summer,0.34,Terrier Group,
7258,DOG,rottweiler,U,FALSE,Queens,11385,Summer,0.7,Working Group,
7259,DOG,bull terrier,U,FALSE,Queens,11377,Summer,0.03,Terrier Group,
7260,DOG,bull terrier,U,FALSE,Queens,11691,Summer,0.13,Terrier Group,
7261,DOG,bull terrier,U,FALSE,Queens,,Summer,0.17,Terrier Group,
7263,DOG,doberman pinscher,M,TRUE,Queens,11357,Summer,0.76,Working Group,Puppy/Young (0-2 Years)
7265,DOG,bull terrier,U,FALSE,Queens,11105,Summer,0.49,Terrier Group,
7266,DOG,bull terrier,U,FALSE,Queens,11694,Summer,0.54,Terrier Group,
7267,DOG,maltese,U,FALSE,Queens,11367,Summer,0.58,Toy Group,
7268,DOG,bull terrier,U,FALSE,Queens,11423,Summer,0.07,Terrier Group,
7271,DOG,bull terrier,U,FALSE,Queens,11412,Summer,0.37,Terrier Group,Puppy/Young (0-2 Years)
7272,DOG,beagle,U,FALSE,Queens,11435,Summer,0.33,Hound Group,
7274,DOG,newfoundland,M,TRUE,Queens,11414,Summer,0.64,Working Group,Adult (3-7 Years)
7275,DOG,cocker spaniel,U,FALSE,Queens,,Summer,0.58,Sporting Group,
7278,DOG,bull terrier,M,TRUE,Queens,11419,Summer,0.34,Terrier Group,Senior (8+ Years)
7279,DOG,american staffordshire terrier,M,FALSE,Queens,11367,Summer,0.47,Terrier Group,Puppy/Young (0-2 Years)
7281,DOG,bull terrier,U,FALSE,Queens,,Summer,0.48,Terrier Group,
7282,DOG,bull terrier,U,FALSE,Queens,11419,Summer,0.07,Terrier Group,
7283,DOG,bulldog,U,FALSE,Queens,,Summer,0.16,Non-Sporting Group,
7284,DOG,maltese,F,FALSE,Queens,,Summer,0.87,Toy Group,Senior (8+ Years)
7287,DOG,bull terrier,U,FALSE,Queens,11377,Summer,0.2,Terrier Group,
7288,DOG,bull terrier,M,FALSE,Queens,,Summer,0.42,Terrier Group,Adult (3-7 Years)
7289,DOG,bull terrier,U,FALSE,Queens,11413,Summer,0.04,Terrier Group,
7290,DOG,alaskan malamute,M,FALSE,Queens,11435,Summer,0.19,Working Group,Puppy/Young (0-2 Years)
7291,DOG,bull terrier,M,FALSE,Queens,11434,Summer,0.37,Terrier Group,Puppy/Young (0-2 Years)
